ReportDate,API_WELLNO,FileNo,Company,WellName,Quarter,Section,Township,Range,County,FieldName,Pool,Oil,Wtr,Days,Runs,Gas,GasSold,Flared,Lat,Long
2015-06-01,33053043310000,23615,MUREX PETROLEUM CORPORATION,AMBER ELIZABETH  36-25H,SESW,36,151,101,MCK,ALEXANDER,BAKKEN,2228,1959,25,1254,2885,2231,316,47.8491404949616,-103.553341576165
2015-06-01,33053038990000,22021,STATOIL OIL & GAS LP,BILL  14-23 2TFH,SWSW,11,151,101,MCK,ALEXANDER,BAKKEN,1226,4234,28,1235,1663,1345,318,47.9074264464401,-103.579904322421
2015-06-01,33053048330000,25091,STATOIL OIL & GAS LP,BILL  14-23 3H,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,7095,11171,30,6866,7131,6578,553,47.9045530914511,-103.569154032074
2015-06-01,33053050010000,25645,STATOIL OIL & GAS LP,BILL  14-23 4TFH,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,1916,13898,30,1983,107,99,8,47.9045531484913,-103.569031623811
2015-06-01,33053048340000,25092,STATOIL OIL & GAS LP,BILL  14-23 5TFH,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,932,14134,30,915,48,44,4,47.9045530344109,-103.569276440338
2015-06-01,33053050000000,25644,STATOIL OIL & GAS LP,BILL  14-23 6H,NWNE,14,151,101,MCK,ALEXANDER,BAKKEN,6435,10059,30,6348,7570,6982,588,47.9045532055315,-103.568909215547
2015-06-01,33053039010000,22023,STATOIL OIL & GAS LP,BILL 14-23  1H,SWSW,11,151,101,MCK,ALEXANDER,BAKKEN,5650,7102,29,5762,6994,5979,1015,47.9074840404539,-103.579846783007
2015-06-01,33053042390000,23319,STATOIL OIL & GAS LP,PORTER   35-26 #1TFH,SESW,35,151,101,MCK,ALEXANDER,BAKKEN,1441,3831,24,1492,1558,1550,8,47.8491888565863,-103.576798995147
2015-06-01,33053042400000,23320,STATOIL OIL & GAS LP,PORTER   35-26 #2H,SESW,35,151,101,MCK,ALEXANDER,BAKKEN,1899,3236,29,1923,2374,2374,0,47.8491889134726,-103.576921300683
2015-06-01,33053042380000,23302,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 1TFH,NENW,13,151,101,MCK,ALEXANDER,BAKKEN,2591,5008,25,2795,2694,2048,646,47.9051857973339,-103.551310777781
2015-06-01,33053042370000,23301,STATOIL OIL & GAS LP,TIMBER CREEK  13-24 2H,NENW,13,151,101,MCK,ALEXANDER,BAKKEN,6563,7372,30,6275,7265,6906,359,47.9051851087079,-103.5511883745
2015-06-01,33053014360000,9132,"TAQA NORTH USA, INC.",SKEDSVOLD     23-6,SENW,23,151,101,MCK,ALEXANDER,DUPEROW,0,0,0,0,0,0,0,47.886693,-103.57491
2015-06-01,33053015410000,9617,"TAQA NORTH USA, INC.",BOLKEN     24-12,NWSW,24,151,101,MCK,ALEXANDER,MADISON,0,0,0,0,0,0,0,47.882622,-103.558708
2015-06-01,33053012110000,8165,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23,151,101,MCK,ALEXANDER,MADISON,207,1060,18,171,76,0,0,47.8862073601492,-103.564744817384
2015-06-01,33053016070000,9844,"TAQA NORTH USA, INC.",SOVIG     25-2,NWNE,25,151,101,MCK,ALEXANDER,MADISON,0,0,0,0,0,0,0,47.875406,-103.5478
2015-06-01,33053026140000,15670,"TAQA NORTH USA, INC.",HANSEN  2-23,W2SE,23,151,101,MCK,ALEXANDER,RED RIVER,0,0,0,0,0,0,0,47.880860542873,-103.568864653431
2015-06-01,33053012110000,8165,"TAQA NORTH USA, INC.",SKEDSVOLD  1,SENE,23,151,101,MCK,ALEXANDER,RED RIVER,55,0,18,45,47,0,0,47.8862073601492,-103.564744817384
2015-06-01,33023008590000,23323,HUNT OIL COMPANY,ALEXANDRIA   1-33-28HTF,LOT3,1,160,101,DIV,ALEXANDRIA,BAKKEN,1113,1955,30,1325,1353,0,570,48.7188933269934,-103.677966532666
2015-06-01,33023012220000,28507,HUNT OIL COMPANY,ALEXANDRIA   161-100-21-16H-1,SWSE,21,161,100,DIV,ALEXANDRIA,BAKKEN,5993,7868,30,6198,2999,0,2721,48.7501126172812,-103.668312885958
2015-06-01,33023012200000,28501,HUNT OIL COMPANY,ALEXANDRIA   161-100-22-15H-1,SESW,22,161,100,DIV,ALEXANDRIA,BAKKEN,3839,4231,30,3647,2350,784,837,48.750590754001,-103.65380316394
2015-06-01,33023010970000,26256,HUNT OIL COMPANY,ALEXANDRIA   161-100-24-13H-1,SESW,24,161,100,DIV,ALEXANDRIA,BAKKEN,3362,7006,30,3294,3198,2649,88,48.7501792904821,-103.609886335862
2015-06-01,33023011690000,27725,HUNT OIL COMPANY,ALEXANDRIA   161-100-32-29H-1,SWSE,32,161,100,DIV,ALEXANDRIA,BAKKEN,2657,4063,30,2785,2556,1216,879,48.7210664252787,-103.691812040655
2015-06-01,33023010160000,25096,HUNT OIL COMPANY,ALEXANDRIA  1-26-35H,NENW,26,161,100,DIV,ALEXANDRIA,BAKKEN,2343,4118,30,2183,2964,2469,34,48.7489650583043,-103.631885407043
2015-06-01,33023011820000,27921,HUNT OIL COMPANY,ALEXANDRIA  161-100-17-20H-1,NENW,17,161,100,DIV,ALEXANDRIA,BAKKEN,5494,6596,30,5090,4259,0,3500,48.7781166992351,-103.698443446601
2015-06-01,33023010470000,25666,HUNT OIL COMPANY,ALEXANDRIA  161-100-18-19H-1,NENW,18,161,100,DIV,ALEXANDRIA,BAKKEN,2217,3962,30,2198,1024,0,563,48.777065448652,-103.718390659113
2015-06-01,33023010980000,26259,HUNT OIL COMPANY,ALEXANDRIA  161-100-23-14H-1,NENW,26,161,100,DIV,ALEXANDRIA,BAKKEN,4046,6428,30,3782,3606,3011,134,48.7488408486698,-103.632319947206
2015-06-01,33023012210000,28502,HUNT OIL COMPANY,ALEXANDRIA  161-100-27-34H-1,SESW,22,161,100,DIV,ALEXANDRIA,BAKKEN,4533,6031,30,4705,3534,1727,1076,48.7505901546712,-103.654238676889
2015-06-01,33023010480000,25667,HUNT OIL COMPANY,ALEXANDRIA  161-100-7-6H-1,NENW,18,161,100,DIV,ALEXANDRIA,BAKKEN,2854,5199,30,2891,1337,0,876,48.7773532491915,-103.718388668791
2015-06-01,33023011830000,27922,HUNT OIL COMPANY,ALEXANDRIA  161-100-8-5H-1,NENW,17,161,100,DIV,ALEXANDRIA,BAKKEN,3728,6201,25,3857,2262,0,1651,48.778118091659,-103.698879076359
2015-06-01,33023011050000,26475,MUREX PETROLEUM CORPORATION,GARY LEE  31-30H,SESW,31,161,100,DIV,ALEXANDRIA,BAKKEN,2041,3087,18,1961,640,210,135,48.7212941915917,-103.717651145197
2015-06-01,33023011220000,26752,SM ENERGY COMPANY,MARVIN  14-34HS,SESW,34,162,100,DIV,ALEXANDRIA,BAKKEN,3236,5235,30,3168,2832,1990,574,48.808449902624,-103.653491544032
2015-06-01,33023011130000,26592,SM ENERGY COMPANY,PAUL  3-4HS,LOT3,4,161,100,DIV,ALEXANDRIA,BAKKEN,2815,4868,30,2729,2123,0,1856,48.8066851435003,-103.675346839092
2015-06-01,33023007890000,21888,SM ENERGY COMPANY,TOMLINSON  3-1HS,LOT3,1,161,100,DIV,ALEXANDRIA,BAKKEN,1717,2906,30,1585,1507,1266,140,48.8069363779827,-103.610843034562
2015-06-01,33023010360000,25533,SM ENERGY COMPANY,TOMLINSON  3-2HS,LOT3,2,161,100,DIV,ALEXANDRIA,BAKKEN,2658,4770,29,2582,2283,1989,129,48.8067859724642,-103.632012801051
2015-06-01,33061009980000,18024,"EOG RESOURCES, INC.",ROSS   10-18H,SWSE,18,156,92,MTL,ALGER,BAKKEN,1045,644,30,1320,1379,1137,0,48.3279615678121,-102.553171638614
2015-06-01,33061013070000,18843,"EOG RESOURCES, INC.",ROSS   18-10H,SESE,10,156,92,MTL,ALGER,BAKKEN,739,572,30,668,656,354,0,48.3429394490341,-102.483575742975
2015-06-01,33061015310000,19722,"EOG RESOURCES, INC.",ROSS   29-1716H,NWNE,17,156,92,MTL,ALGER,BAKKEN,1498,972,30,1621,1311,1009,0,48.3408176723322,-102.534125698474
2015-06-01,33061008300000,17526,"EOG RESOURCES, INC.",ROSS   4-05H,SESE,5,156,92,MTL,ALGER,BAKKEN,897,781,30,1361,1006,704,0,48.3569969699039,-102.527329776174
2015-06-01,33061011660000,18444,"EOG RESOURCES, INC.",ROSS  100-09H,SWSW,9,156,92,MTL,ALGER,BAKKEN,0,0,0,0,0,0,0,48.3426108016359,-102.520867152983
2015-06-01,33061009750000,17950,"EOG RESOURCES, INC.",ROSS  1-09H,SWSE,9,156,92,MTL,ALGER,BAKKEN,689,507,30,437,581,339,0,48.3425921368703,-102.510154982948
2015-06-01,33061010130000,18062,"EOG RESOURCES, INC.",ROSS  11-27H,SESE,27,156,92,MTL,ALGER,BAKKEN,0,0,0,0,0,0,0,48.2990408875929,-102.483636360585
2015-06-01,33061010340000,18118,"EOG RESOURCES, INC.",ROSS  12-06H,SESE,6,156,92,MTL,ALGER,BAKKEN,367,425,19,449,618,474,0,48.3570615279579,-102.549246608677
2015-06-01,33061013000000,18819,"EOG RESOURCES, INC.",ROSS  13-15H,SESE,15,156,92,MTL,ALGER,BAKKEN,710,489,30,883,759,517,0,48.3278428234195,-102.483801667803
2015-06-01,33061012850000,18763,"EOG RESOURCES, INC.",ROSS  15-28H,SESE,28,156,92,MTL,ALGER,BAKKEN,1123,457,30,1753,1521,1219,0,48.2988356840539,-102.50498964682
2015-06-01,33061005310000,16587,"EOG RESOURCES, INC.",ROSS  20-16H,NWNW,16,156,92,MTL,ALGER,BAKKEN,1037,646,30,960,1095,853,0,48.3408153839194,-102.520857217013
2015-06-01,33061011180000,18310,"EOG RESOURCES, INC.",ROSS  21-04H,LOT1,4,156,92,MTL,ALGER,BAKKEN,716,864,30,905,1823,1581,0,48.3720918724064,-102.50888366725
2015-06-01,33061014390000,19358,"EOG RESOURCES, INC.",ROSS  22-07H,SESE,7,156,92,MTL,ALGER,BAKKEN,1065,670,30,1109,1566,1325,0,48.3422822263551,-102.54894703329
2015-06-01,33061014940000,19560,"EOG RESOURCES, INC.",ROSS  27-2728H,SESW,27,156,92,MTL,ALGER,BAKKEN,1431,448,30,1356,1834,1592,0,48.2987530404806,-102.495676242556
2015-06-01,33061016590000,20295,"EOG RESOURCES, INC.",ROSS  28-1615H,NWNE,16,156,92,MTL,ALGER,BAKKEN,877,467,30,881,1080,838,0,48.3410170617144,-102.512424266463
2015-06-01,33061016600000,20296,"EOG RESOURCES, INC.",ROSS  30-0915H,NWNE,9,156,92,MTL,ALGER,BAKKEN,586,600,9,443,377,313,0,48.3555196943216,-102.513680054653
2015-06-01,33061009200000,17795,"EOG RESOURCES, INC.",ROSS  3-04H,LOT3,4,156,92,MTL,ALGER,BAKKEN,674,565,30,683,1225,924,0,48.3717602434638,-102.520251974017
